"name","category","tags","url","github","description"
"Dockhand","infra-management","devsecops, infrastructure","dockhand.pro","Finsys/dockhand","A powerful, intuitive Docker platform for everyone. Real-time container management, Compose stacks, Git deployments, and SSO - all free."
"Web Check","infra-security","infrastructure","web-check.xyz","Lissy93/web-check","Comprehensive on-demand open source intelligence."
"Wazuh","infra-security","infrastructure","wazuh.com","wazuh/wazuh","The Open Source Security Platform."
"ClamAV","infra-security","infrastructure","clamav.net","Cisco-Talos/clamav","Open source antivirus engine for detecting trojans, viruses, malware."
"Mosquitto","iot","app-development","mosquitto.org","eclipse/mosquitto","An open source MQTT broker."
"Traccar","iot","app-development","traccar.org","traccar/traccar","Modern GPS Tracking Platform."
"Zigbee2MQTT","iot","app-development","zigbee2mqtt.io","Koenkk/zigbee2mqtt","Zigbee to MQTT bridge."
"Mailpit","mail-service","app-development, infrastructure, office","mailpit.axllent.org","axllent/mailpit","An email and SMTP testing tool for developers."
"Mailcow","mail-service","infrastructure, office, app-development","mailcow.email","mailcow/mailcow-dockerized","The mailserver suite with the 'moo'."
"Bulwark","mail-service","team-collaboration, office","bulwarkmail.org","bulwarkmail/webmail","JMAP Webmail built for the 21st Century. A modern, self-hosted email client for Stalwart Mail Server powered by the JMAP protocol. Email, calendar, contacts and files. Fast, private, and open source."
"Cloudreve","media-storage","office","cloudreve.org","cloudreve/cloudreve","Self-hosted file management and sharing system that supports multiple storage providers."
"Ente Photos","media-storage","office","ente.io","ente-io/ente","Fully open-source, end-to-end encrypted platform for storing data in the cloud. Alternative to Google Photos."
"Garage","media-storage","office, app-development, infrastructure","garagehq.deuxfleurs.fr","deuxfleurs-org/garage","S3-Compatible Distributed Object Storage designed specifically for self-hosting."
"RustFS","media-storage","office, app-development, infrastructure","rustfs.dev","rustfs/rustfs","High-performance, S3-compatible, distributed object storage system built entirely in Rust."
"FileBrowser","media-storage","office","filebrowser.org","filebrowser/filebrowser","Web File Browser."
"Immich","media-storage","office","immich.app","immich-app/immich","High performance self-hosted photo and video management solution."
"NextCloud","media-storage","office","nextcloud.com","nextcloud/server","Safe home for all your data."
"OwnCloud","media-storage","office","owncloud.com","owncloud/core","Open-source file sync, share and content collaboration."
"Pydio Cells","media-storage","office, app-development, team-collaboration, low-code","pydio.com","pydio/cells","Future-proof enterprise document sharing & collaboration."
"Seafile","media-storage","office","seafile.com","haiwen/seafile","High performance file syncing and sharing."
"SeaweedFS","media-storage","office, app-development, infrastructure","seaweedfs.com","seaweedfs/seaweedfs","A fast distributed storage system for blobs, objects, files, and data lake."
"SFTPGo","media-storage","office, app-development","sftpgo.com","drakkan/sftpgo","Fully featured and highly configurable SFTP server."
"Syncthing","media-storage","infrastructure","syncthing.net","syncthing/syncthing","Open Source Continuous File Synchronization."
"Zipline","media-storage","office","zipline.diced.sh","diced/zipline","A ShareX / file upload server that is easy to use."
"CopyParty","media-storage","office",,"9001/copyparty","Portable file server."
"FileBrowser Quantum","media-storage","office",filebrowserquantum.com,gtsteffaniak/filebrowser,"The best free self-hosted web-based file manager with source configuration, modern authentication, office support, and lightning-fast search."
"SnapOtter","converter","office","snapotter.com","snapotter-hq/snapotter","#1 Swiss army knife for images. Every image tool you'll ever need. Fully offline, 50+ tools, open source. Your images stay yours."
"Newt Pangolin","networking","infrastructure","pangolin.net","fosrl/newt","Pangolin tunneled site & network connector"
"Pi Hole","networking","infrastructure, office","pi-hole.net","pi-hole/pi-hole","A black hole for Internet advertisements."
"Wireguard Easy","networking","infrastructure",,"wg-easy/wg-easy","The easiest way to run WireGuard VPN."
"3proxy","networking","infrastructure","3proxy.org","z3APA3A/3proxy","Tiny free proxy server."
"AdGuard Home","networking","infrastructure, office","adguard.com","AdguardTeam/AdGuardHome","Network-wide ads & trackers blocking DNS server."
"Headscale","networking","infrastructure",,"juanfont/headscale","An open source, self-hosted implementation of the Tailscale control server."
"NetBird","networking","infrastructure","netbird.io","netbirdio/netbird","Open-source VPN platform."
"Termix","networking","infrastructure","termix.site","Termix-SSH/Termix","Self-hosted SSH and remote desktop management."
"Zoraxy","networking","infrastructure, app-development",,"tobychui/zoraxy","A general purpose reverse proxy and forwarding tool."
"RabbitMQ","notification","app-development","rabbitmq.com","rabbitmq/rabbitmq-server","Open source message broker."
"Apprise","notifications","infrastructure, app-development","appriseit.com","caronc/apprise","Push Notifications that work with just about every platform!"
"Gotify","notifications","app-development","gotify.net","gotify/server","A simple server for sending and receiving messages in real-time per WebSocket."
"GOWA","notifications","app-development, helpdesk",,"aldinokemal/go-whatsapp-web-multidevice","Go WhatsApp Web Multi-Device REST API."
"Listmonk","notifications","helpdesk, app-development, content","listmonk.app","knadh/listmonk","High performance, self-hosted, newsletter and mailing list manager."
"Stalwart","mail-service","app-development, infrastructure, office","stalwartlabs.net","stalwartlabs/mail-server","Secure & modern all-in-one mail server."
"Mixpost","notifications","office, content, helpdesk","mixpost.app","inovector/mixpost","Self-hosted social media management software."
"Postiz","notifications","office, content, helpdesk","postiz.com","postiz/postiz","The ultimate open-source social media scheduling tool."
"UseSend","mailservice","app-development, infrastructure, office","usesend.com","usesend/usesend","Open source alternative to Resend, Sendgrid, Postmark etc."
"Meilisearch","search-engine","app-development","meilisearch.com","meilisearch/meilisearch","A lightning-fast search engine."
"Grafana","server-monitoring","infrastructure","grafana.com","grafana/grafana","The open and composable observability and data visualization platform."
"Uptime Kuma","server-monitoring","infrastructure","uptime.kuma.pet","louislam/uptime-kuma","A fancy self-hosted monitoring tool."
"OpenObserve","server-monitoring","infrastructure","openobserve.ai","openobserve/openobserve","Cloud-native observability platform built specifically for logs, metrics, traces and analytics."
"Signoz","server-monitoring","infrastructure","signoz.io","SigNoz/signoz","Open source observability platform."
"Beszel","server-monitoring","infrastructure","beszel.dev","henrygd/beszel","Lightweight server resource monitoring hub."
"Gatus","server-monitoring","infrastructure","gatus.io","TwinProduction/gatus","Automated developer-driven health dashboard."
"NetData","server-monitoring","infrastructure","netdata.cloud","netdata/netdata","High-fidelity infrastructure monitoring and troubleshooting."
"Zabbix","server-monitoring","infrastructure","zabbix.com","zabbix/zabbix","Real-time monitoring of IT components and services."
"Formbricks","survey","helpdesk, office","formbricks.com","formbricks/formbricks","Open Source Qualtrics Alternative. Gather feedback at every point in the user journey."
"Heyform","survey","helpdesk, office","heyform.net","heyform/heyform","Open-source form builder."
"Limesurvey","survey","helpdesk, office","limesurvey.org","LimeSurvey/LimeSurvey","The most popular Free Open Source Software surveying tool."
"OpnForm","survey","helpdesk, office","opnform.com","JhumanJ/OpnForm","Open-source form builder."
"Freescout","ticketing","helpdesk, office","freescout.net","freescout-helpdesk/freescout","Super lightweight and powerful free open source help desk and shared inbox."
"OsTicket","ticketing","helpdesk, office","osticket.com","osTicket/osTicket","Open Source Support Ticketing System."
"Redmine","workspace","office, documentation, app-development","redmine.org","redmine/redmine","A flexible project management web application."
"Rybbit","web-analytics","app-development, office","rybbit.com","rybbit-io/rybbit","Next-gen, open source, lightweight, cookieless web & product analytics for everyone — GDPR/CCPA compliant."
"Swetrix","web-analytics","infrastructure","swetrix.com","Swetrix/swetrix-api","Privacy-focused, fully cookieless and open source web analytics."
"Umami","web-analytics","infrastructure,app-development","umami.is","umami-software/umami","Umami is a simple, fast, privacy-focused alternative to Google Analytics."
"Activepieces","workflow-automation","infrastructure, office, low-code","activepieces.com","activepieces/activepieces","Open-source, all-in-one workflow automation platform designed to connect applications and automate processes using AI capabilities."
"Budibase","workflow-automation","app-development, office, low-code","budibase.com","Budibase/budibase","AI agents, automations and apps that run your operations. Model agnostic."
"n8n","workflow-automation","low-code","n8n.io","n8n-io/n8n","Free and open fair-code licensed node based Workflow Automation Tool."
"Trigger Dev","workflow-automation","app-development","trigger.dev","triggerdotdev/trigger.dev","Open source background jobs framework for Next.js."
"Windmill","workflow-automation","low-code","windmill.dev","windmill-labs/windmill","Open-source developer platform for scripts, workflows and UIs."
"NodeRed","workflow-automation","low-code","nodered.org","node-red/node-red","Low-code programming for event-driven applications."
"Affine","workspace","office, documentation, app-development","affine.pro","toeverything/AFFiNE","Open-source, all-in-one workspace and next-generation knowledge base, privacy-first alternative to Notion."
"Fizzy","workspace","office, team-collaboration","fizzy.do","basecamp/fizzy","Kanban as it should be. Not as it has been."
"Easy! Appointment","workspace","office, helpdesk","easyappointments.org","alextselegidis/easyappointments","Highly customizable web application that allows customers to book appointments."
"Excalidraw","workspace","team-collaboration","excalidraw.com","excalidraw/excalidraw","Virtual whiteboard for sketching hand-drawn like diagrams."
"Jitsi","workspace","team-collaboration, office","jitsi.org","jitsi/jitsi-meet","Secure, Simple and Scalable Video Conferences."
"Collabora Online","workspace","team-collaboration, office","collaboraoffice.com","CollaboraOnline/online","Powerful LibreOffice-based online office suite."
"Mattermost","workspace","team-collaboration, office","mattermost.com","mattermost/mattermost","Open source platform for secure collaboration."
"Matrix Synapse","workspace","team-collaboration, office","matrix.org","matrix-org/synapse","Matrix reference homeserver."
"Moodle","workspace","office, content","moodle.org","moodle/moodle","Open-source learning management system."
"Privatebin","app-security","office, infrastructure, team-collaboration, documentation","privatebin.info","PrivateBin/PrivateBin","A minimalist, open source online pastebin."
"NodeBB","workspace","office, team-collaboration, content","nodebb.org","NodeBB/NodeBB","Node.js based forum software built for the modern web."
"SnipeIT","workspace","office, team-collaboration","snipeitapp.com","snipe/snipe-it","A free open source IT asset/license management system."
"OrangeHRM","workspace","office, team-collaboration","orangehrm.com","orangehrm/orangehrm","Open Source Human Resource Management."
"Penpot","workspace","team-collaboration, app-development","penpot.app","penpot/penpot","The Open-Source design & prototyping platform."
"Sessy","mail-service","app-development","sessy.do","marckohlbrugge/sessy","Open-source email observability for AWS SES. Track deliveries, bounces, opens, clicks, and complaints in a self-hosted dashboard you own."
"Chatwoot","workspace","helpdesk, content","chatwoot.com","chatwoot/chatwoot","Open-source customer engagement suite."
"Element","workspace","office, team-collaboration","element.io","element-hq/element-web","A glossy Matrix collaboration client."
"Ondsel","workspace","team-collaboration, app-development","ondsel.com","Ondsel-Development/FreeCAD","Engineering design software."
"TeamSpeak","workspace","team-collaboration","teamspeak.com",,"TeamSpeak Client."
